Image,Crack,Efflorescence,Spalling,Undamaged,True Label
001_0fwtaowy.t1o.jpg,1,0,0,0,0
001_avlr5wdk.yoi.jpg,0,0,1,0,0
001_cdl1dg2t.4w0.jpg,1,0,0,0,0
001_kwmsqgk2.yfv.jpg,1,0,0,0,0
001_s5g23evx.mzu.jpg,1,0,0,0,0
002_ef5csbwj.r10.jpg,1,0,0,0,0
002_v3h0t5sm.lqi.jpg,0,1,0,0,0
005_j3jkrxyt.i2n.jpg,1,0,0,0,0
006_kdbh5mv1.2db.jpg,0,0,0,1,0
009_an1rjwgl.3uu.jpg,0,0,0,1,0
012_asfuvbod.oa3.jpg,1,0,0,0,0
012_b4d135xg.lwj.jpg,0,1,0,0,0
014_yzkaimlb.g0w.jpg,1,0,0,0,0
017_t11t3li5.4hl.jpg,1,0,0,0,0
017_w1hvfhw4.zkq.jpg,1,0,0,0,0
020_qktrfhtp.41z.jpg,1,0,0,0,0
025_oekleedw.k0u.jpg,1,0,0,0,0
048_12c1c1ht.aw5.jpg,1,0,0,0,0
068_5p0lfjeg.znj.jpg,1,0,0,0,0
078_il0dby2o.vls.jpg,1,0,0,0,0
113_2grzu0wr.eui.jpg,1,0,0,0,0
113_5qli1feo.1sg.jpg,1,0,0,0,0
113_oinxojp4.40l.jpg,1,0,0,0,0
113_ow1sj124.gur.jpg,1,0,0,0,0
169_dsnzqlzj.p53.jpg,1,0,0,0,0
189_2gjyn4p2.aix.jpg,1,0,0,0,0
189_w0raeiwe.h13.jpg,1,0,0,0,0
191_1nl0xa4a.5ea.jpg,1,0,0,0,0
191_yb3dpinx.gc3.jpg,1,0,0,0,0
AZ-1836-07072015-FLD-DC-VIC-005-255-1_tytyqeky.4lz.jpg,1,0,0,0,0
AZ-1836_1.JPG,1,0,0,0,0
AZ-1842-07132015-FLD-DC-VIC-005-193-1_w3r4cpzt.pdj.jpg,1,0,0,0,0
AZ-1842_4.JPG,1,0,0,0,0
AZ-1842_7.JPG,1,0,0,0,0
CA-560759L-6232016-FLD-DC-VIC-005-D50-001_yfktkan3.tvy.jpg,1,0,0,0,0
CA-560759L-6232016-FLD-DC-VIC-005-G01-001_2fe13vnz.xmk.jpg,1,0,0,0,0
CA-560759L-6232016-FLD-DC-VIC-005-G01-002_eos3nv0d.vmc.jpg,1,0,0,0,0
CA-560759L-6232016-FLD-DC-VIC-005-G04-002_r3ls31yt.occ.jpg,1,0,0,0,0
CA-560759L-6232016-FLD-DC-VIC-005-G04-002_v5ecph4f.npq.jpg,1,0,0,0,0
CA-560759L-6232016-FLD-DC-VIC-005-G06-002_yx0b54tq.frl.jpg,1,0,0,0,0
CA-560759L-6232016-FLD-DC-VIC-005-G07-001_1nmg4qui.5on.jpg,1,0,0,0,0
CA-560759L-6232016-FLD-DC-VIC-005-G15-001_4m53fwz0.tm1.jpg,1,0,0,0,0
CA-560759L-6232016-FLD-DC-VIC-005-G15-002_sw33zfve.lbh.jpg,1,0,0,0,0
CA-560759L-6232016-FLD-DC-VIC-005-G17-002_sbhjtbjn.dtj.jpg,1,0,0,0,0
CA-560759L-6232016-FLD-DC-VIC-005-G25-001_eqcxrfo4.35i.jpg,1,0,0,0,0
CA-560759L-6232016-FLD-DC-VIC-005-G25-002_ykm2tpde.mtv.jpg,1,0,0,0,0
CA-560759L-6232016-FLD-DC-VIC-005-G38-001_hq4jjryb.ejs.jpg,1,0,0,0,0
CA-560759L-6232016-FLD-DC-VIC-005-G41-001_e0nv43kk.jdw.jpg,1,0,0,0,0
CA-560759L-6232016-FLD-DC-VIC-005-G44-001_uhs1vilg.ge1.jpg,1,0,0,0,0
CA-560759L-6232016-FLD-DC-VIC-005-G44-002_fdoihtvo.ach.jpg,0,0,0,1,0
CA-560759L-6232016-FLD-DC-VIC-005-G44-003_vfg5iyz2.boc.jpg,1,0,0,0,0
CA-560759L-6232016-FLD-DC-VIC-005-G47-002_25xo3d4v.aa2.jpg,1,0,0,0,0
CA-560759L-6232016-FLD-DC-VIC-005-G54-001_q5e3uk2j.zi3.jpg,1,0,0,0,0
CA-560759L_10.JPG,1,0,0,0,0
CA-560759L_19.JPG,1,0,0,0,0
CA-560759L_24.JPG,1,0,0,0,0
CA-560759L_8.JPG,1,0,0,0,0
CA-560759R-6232016-FLD-DC-VIC-005-G07-002_4mkygf1d.aii.jpg,1,0,0,0,0
CA-560759R-6232016-FLD-DC-VIC-005-G08-001_tnlr442n.osn.jpg,1,0,0,0,0
CA-560759R-6232016-FLD-DC-VIC-005-G10-001_dijib5fi.nai.jpg,1,0,0,0,0
